data_set_id	probe_id	probe_name	gene_id	gene_acronym
1484	103340	RP_Baylor_103340	79890	Dmbx1
1485	103340	RP_Baylor_103340	79890	Dmbx1
1492	7017	RP_040420_01_E04	13623	Ephb3
1493	7017	RP_040420_01_E04	13623	Ephb3
1494	103159	RP_Baylor_103159	26794	Etv3
1495	103159	RP_Baylor_103159	26794	Etv3
1496	102842	RP_Baylor_102842	14997	Foxd3
1497	102842	RP_Baylor_102842	14997	Foxd3
1500	102796	RP_Baylor_102796	14143	Fzd5
1504	7018	RP_040420_01_E06	35214	Hes6
1505	7018	RP_040420_01_E06	35214	Hes6
1508	102893	RP_Baylor_102893	16687	Lmx1b
1509	102893	RP_Baylor_102893	16687	Lmx1b
1510	102913	RP_Baylor_102913	17532	Mtf2
1511	102913	RP_Baylor_102913	17532	Mtf2
1512	7016	RP_040420_01_E03	17630	Myb
1513	7016	RP_040420_01_E03	17630	Myb
1514	253941	RP_Baylor_253941	57675	Ndel1
1516	7003	RP_040420_01_C07	18356	Pdgfa
1517	7003	RP_040420_01_C07	18356	Pdgfa
1522	103019	RP_Baylor_103019	19967	Prrx2
1523	103019	RP_Baylor_103019	19967	Prrx2
1528	102995	RP_Baylor_102995	19164	Rara
1529	102995	RP_Baylor_102995	19164	Rara
1553	103356	RP_Baylor_103356	84413	Frat2
1555	85905	RP_040428_01_C06	17795	Nfib
1556	85905	RP_040428_01_C06	17795	Nfib
1561	103393	RP_Baylor_103393	88096	Plxnb1
1562	103393	RP_Baylor_103393	88096	Plxnb1
1563	102975	RP_Baylor_102975	18749	Pou2f1
1564	102975	RP_Baylor_102975	18749	Pou2f1
1569	7467	RP_040625_02_A06	19499	Rgs4
1574	103199	RP_Baylor_103199	33817	Syt10
1581	7219	RP_040507_02_H02	13963	Fgfr4
1585	7274	RP_040526_01_F03	14586	Grin1
1586	7274	RP_040526_01_F03	14586	Grin1
1589	103113	RP_Baylor_103113	22171	Wnt2b
1590	103113	RP_Baylor_103113	22171	Wnt2b
1609	102787	RP_Baylor_102787	14017	Foxb2
1610	102787	RP_Baylor_102787	14017	Foxb2
1615	102817	RP_Baylor_102817	14410	Gli3
1616	102817	RP_Baylor_102817	14410	Gli3
1623	7196	RP_040507_02_E11	15213	Hoxd9
1624	7196	RP_040507_02_E11	15213	Hoxd9
1635	7180	RP_040507_02_D04	44456	Letmd1
1636	7180	RP_040507_02_D04	44456	Letmd1
1659	7166	RP_040507_02_B06	56084	Abtb1
1666	7220	RP_040507_02_H03	65148	Nfxl1
1687	7213	RP_040507_02_G07	12462	Vsx2
1688	7213	RP_040507_02_G07	12462	Vsx2
1694	7266	RP_040526_01_E05	26175	Creb3l1
1695	7395	RP_040604_01_D09	12802	Ctf1
1696	7395	RP_040604_01_D09	12802	Ctf1
1699	7321	RP_040526_02_D07	86552	Dner
1700	7321	RP_040526_02_D07	86552	Dner
1709	7338	RP_040526_02_F04	13644	Erbb2
1710	7338	RP_040526_02_F04	13644	Erbb2
1715	7174	RP_040507_02_C06	13947	Fgf15
1716	7174	RP_040507_02_C06	13947	Fgf15
1720	102791	RP_Baylor_102791	14061	Fosl2
1740	7262	RP_040526_01_D11	27759	Polr2m
1741	7262	RP_040526_01_D11	27759	Polr2m
1746	7216	RP_040507_02_G10	15153	Hnf4a
1748	103152	RP_Baylor_103152	26303	Homer1
1749	103152	RP_Baylor_103152	26303	Homer1
1752	7277	RP_040526_01_F08	16145	Irx2
1788	102936	RP_Baylor_102936	17898	Notch3
1789	102936	RP_Baylor_102936	17898	Notch3
1792	7153	RP_040507_02_A03	15145	Nr4a1
1793	7153	RP_040507_02_A03	15145	Nr4a1
1802	7370	RP_040604_01_B05	12960	Pcbd1
1803	7370	RP_040604_01_B05	12960	Pcbd1
1804	102951	RP_Baylor_102951	18341	Pde1c
1805	102951	RP_Baylor_102951	18341	Pde1c
1812	7380	RP_040604_01_C05	18563	Plcd1
1813	7380	RP_040604_01_C05	18563	Plcd1
1821	7319	RP_040526_02_D05	19197	Rax
1826	7144	RP_040507_01_H01	88381	Rtn4rl1
1827	7144	RP_040507_01_H01	88381	Rtn4rl1
1830	7292	RP_040526_01_H05	20082	Sfrp2
1831	7292	RP_040526_01_H05	20082	Sfrp2
1834	7224	RP_040507_02_H09	20233	Six1
1835	7224	RP_040507_02_H09	20233	Six1
1862	7209	RP_040507_02_G03	47844	Synpr
1863	7209	RP_040507_02_G03	47844	Synpr
1874	103062	RP_Baylor_103062	21171	Hnf1b
1875	103062	RP_Baylor_103062	21171	Hnf1b
1890	103122	RP_Baylor_103122	22180	Wnt8b
1891	103122	RP_Baylor_103122	22180	Wnt8b
1892	103111	RP_Baylor_103111	22169	Wnt9b
1893	103111	RP_Baylor_103111	22169	Wnt9b
1894	7014	RP_040420_01_D12	37620	Zfp191
1895	7014	RP_040420_01_D12	37620	Zfp191
1901	86049	RP_040428_01_E03	17813	Nfyc
1910	7206	RP_040507_02_F10	47626	Pdgfd
1911	7206	RP_040507_02_F10	47626	Pdgfd
1916	86344	RP_040428_01_H09	19945	Rxrb
1917	86344	RP_040428_01_H09	19945	Rxrb
1924	7189	RP_040507_02_E02	35684	Trip4
1925	7189	RP_040507_02_E02	35684	Trip4
1927	103094	RP_Baylor_103094	21972	Ube3a
1929	85836	RP_040428_01_B09	22094	Vdr
1932	253991	RP_Baylor_253991	37368	Mlxipl
1933	253991	RP_Baylor_253991	37368	Mlxipl
1936	103120	RP_Baylor_103120	22178	Wnt7a
1937	103120	RP_Baylor_103120	22178	Wnt7a
1990	7411	RP_040604_01_F08	86431	Aph1a
1991	7411	RP_040604_01_F08	86431	Aph1a
2021	7439	RP_040604_02_A11	11394	Agtr1a
2022	7439	RP_040604_02_A11	11394	Agtr1a
2025	102993	RP_Baylor_102993	19141	Aldh1a2
2029	253874	RP_Baylor_253874	11531	Anxa11
2031	102630	RP_Baylor_102630	11571	Apba2
2032	102630	RP_Baylor_102630	11571	Apba2
2039	102633	RP_Baylor_102633	11622	Ar
2045	7036	RP_040420_01_H03	11652	Arntl
2046	7036	RP_040420_01_H03	11652	Arntl
2053	102644	RP_Baylor_102644	11791	Axin1
2054	102644	RP_Baylor_102644	11791	Axin1
2057	7466	RP_040625_02_C03	11809	Barx2
2058	7466	RP_040625_02_C03	11809	Barx2
2065	7229	RP_040526_01_A02	11948	Bmp7
2066	7229	RP_040526_01_A02	11948	Bmp7
2083	102678	RP_Baylor_102678	12346	Cdh4
2084	102678	RP_Baylor_102678	12346	Cdh4
2095	102688	RP_Baylor_102688	12456	Chrm3
2096	102688	RP_Baylor_102688	12456	Chrm3
2097	102619	RP_Baylor_102619	11233	Chrnb2
2098	102619	RP_Baylor_102619	11233	Chrnb2
2111	7389	RP_040604_01_D03	12585	Cnr2
2112	7389	RP_040604_01_D03	12585	Cnr2
2135	6967	RP_040407_02_G05	20075	Cx3cl1
2136	6967	RP_040407_02_G05	20075	Cx3cl1
2149	102727	RP_Baylor_102727	13159	Dkk1
2167	102792	RP_Baylor_102792	14133	Dtx1
2168	102792	RP_Baylor_102792	14133	Dtx1
2171	102737	RP_Baylor_102737	13334	E2f1
2172	102737	RP_Baylor_102737	13334	E2f1
2173	7134	RP_040507_01_G01	29986	E2f6
2174	7134	RP_040507_01_G01	29986	E2f6
2185	102754	RP_Baylor_102754	13490	Elk1
2186	102754	RP_Baylor_102754	13490	Elk1
2187	102757	RP_Baylor_102757	13616	Epha4
2191	7264	RP_040526_01_E02	13626	Ephb6
2192	7264	RP_040526_01_E02	13626	Ephb6
2195	102761	RP_Baylor_102761	13653	Erf
2196	102761	RP_Baylor_102761	13653	Erf
2199	7022	RP_040420_01_E11	23624	Ets1
2200	7022	RP_040420_01_E11	23624	Ets1
2224	7324	RP_040526_02_D10	14031	Flt1
2225	7324	RP_040526_02_D10	14031	Flt1
2230	253910	RP_Baylor_253910	15004	Foxg1
2231	253910	RP_Baylor_253910	15004	Foxg1
2232	102785	RP_Baylor_102785	14010	Foxi1
2233	102785	RP_Baylor_102785	14010	Foxi1
2238	103033	RP_Baylor_103033	20141	Frzb
2239	102793	RP_Baylor_102793	14138	Fzd1
2240	102793	RP_Baylor_102793	14138	Fzd1
2241	6853	RP_040315_01_05	14142	Fzd4
2242	6853	RP_040315_01_05	14142	Fzd4
2247	102801	RP_Baylor_102801	14176	Gabrb1
2251	102805	RP_Baylor_102805	14227	Gas1
2252	102805	RP_Baylor_102805	14227	Gas1
2255	102816	RP_Baylor_102816	14385	Gja1
2256	102816	RP_Baylor_102816	14385	Gja1
2271	7328	RP_040526_02_E03	14539	Gpr37
2272	7328	RP_040526_02_E03	14539	Gpr37
2287	102840	RP_Baylor_102840	14983	Hes3
2288	102840	RP_Baylor_102840	14983	Hes3
2289	103305	RP_Baylor_103305	58851	Hes7
