row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
9810,81076,"ENSG00000251359","WWC2-AS2",152641
9811,3400,"ENSG00000101365","IDH3B",3420
9812,57267,"ENSG00000166579","NDEL1",81565
9813,9951,"ENSG00000115091","ACTR3",10096
9814,2170,"ENSG00000120899","PTK2B",2185
9815,109618,"ENSG00000161999","JMJD8",339123
9816,7331,"ENSG00000076248","UNG",7374
9817,58459,"ENSG00000146005","PSD2",84249
9818,2747,"ENSG00000197045","GMFB",2764
9819,36429,"ENSG00000129353","SLC44A2",57153
9820,133390,"ENSG00000196553","LINC00238",440184
9821,8866,"ENSG00000166167","BTRC",8945
9822,23290,"ENSG00000065457","ADAT1",23536
9823,56016,"","RUNX1-IT1",80215
9824,9111,"","CCPG1",9236
9825,4876,"ENSG00000135318","NT5E",4907
9826,2239,"ENSG00000102678","FGF9",2254
9827,41319,"ENSG00000084070","SMAP2",64744
9828,54982,"ENSG00000125505","MBOAT7",79143
9829,6588,"ENSG00000125835","SNRPB",6628
9830,57277,"ENSG00000178878","APOLD1",81575
9831,110270,"ENSG00000184210","DGAT2L6",347516
9832,6175,"ENSG00000164587","RPS14",6208
9833,58429,"ENSG00000127580","WDR24",84219
9834,55707,"ENSG00000170537","TMC7",79905
9835,85562,"ENSG00000175395","ZNF25",219749
9836,35545,"ENSG00000088882","CPXM1",56265
9837,10097,"ENSG00000171723","GPHN",10243
9838,3828,"ENSG00000205420","KRT6A",3853
9839,5249,"ENSG00000151665","PIGF",5281
9840,30770,"ENSG00000182631","RXFP3",51289
9841,25523,"","GSTTP1",25774
9842,59610,"ENSG00000140323","DISP2",85455
9843,30684,"ENSG00000213782","DDX47",51202
9844,403,"ENSG00000133794","ARNTL",406
9845,80513,"ENSG00000127585","FBXL16",146330
9846,10431,"ENSG00000115523","GNLY",10578
9847,29,"ENSG00000076555","ACACB",32
9848,36859,"ENSG00000019505","SYT13",57586
9849,34321,"ENSG00000138459","SLC35A5",55032
9850,2577,"ENSG00000130005","GAMT",2593
9851,10867,"ENSG00000204577","LILRB3",11025
9852,8900,"ENSG00000006062","MAP3K14",9020
9853,93959,"ENSG00000174527","MYO1H",283446
9854,5142,"ENSG00000174827","PDZK1",5174
9855,79024,"ENSG00000184361","TEX34",124783
9856,36275,"ENSG00000146828","SLC12A9",56996
9857,404,"ENSG00000120500","ARR3",407
9858,41744,"ENSG00000187801","ZNF643",65243
9859,29618,"ENSG00000198791","CNOT7",29883
9860,1640,"ENSG00000099977","DDT",1652
9861,10083,"ENSG00000167186","COQ7",10229
9862,9558,"ENSG00000166037","CEP57",9702
9863,2935,"ENSG00000184674","GSTT1",2952
9864,7010,"ENSG00000198959","TGM2",7052
9865,3584,"ENSG00000129351","ILF3",3609
9866,83668,"ENSG00000182552","RWDD4",201965
9867,3831,"ENSG00000170421","KRT8",3856
9868,10496,"ENSG00000136231","IGF2BP3",10643
9869,3710,"ENSG00000065427","KARS",3735
9870,78977,"ENSG00000162004","CCDC78",124093
9871,4771,"ENSG00000066136","NFYC",4802
9872,4061,"ENSG00000170365","SMAD1",4086
9873,34109,"ENSG00000072864","NDE1",54820
9874,41347,"ENSG00000132635","PCED1A",64773
9875,821,"ENSG00000092529","CAPN3",825
9876,80692,"ENSG00000119559","C19orf25",148223
9877,81519,"ENSG00000256061","DYX1C1",161582
9878,58619,"ENSG00000120306","CYSTM1",84418
9879,79558,"ENSG00000170571","EMB",133418
9880,59103,"ENSG00000168874","ATOH8",84913
9881,25813,"ENSG00000039560","RAI14",26064
9882,109702,"ENSG00000187815","ZNF642",339559
9883,7162,"ENSG00000087077","TRIP6",7205
9884,9988,"ENSG00000123240","OPTN",10133
9885,35058,"ENSG00000167766","ZNF83",55769
9886,9506,"ENSG00000066855","MTFR1",9650
9887,23888,"ENSG00000090889","KIF4A",24137
9888,79405,"ENSG00000152102","FAM168B",130074
9889,81487,"ENSG00000172717","FAM71D",161142
9890,8932,"ENSG00000013588","GPRC5A",9052
9891,25660,"ENSG00000166171","DPCD",25911
9892,34049,"ENSG00000115257","PCSK4",54760
9893,125303,"ENSG00000197520","FAM177B",400823
9894,2038,"ENSG00000120915","EPHX2",2053
9895,1000018,"","LOC100128185",100128185
9896,110417,"ENSG00000164588","HCN1",348980
9897,9590,"ENSG00000048052","HDAC9",9734
9898,94154,"ENSG00000179136","FLJ34690",284034
9899,41026,"ENSG00000103245","NARFL",64428
9900,6609,"ENSG00000109610","SOD3",6649
9901,110409,"ENSG00000180438","TPRXL",348825
9902,11098,"ENSG00000168386","FILIP1L",11259
9903,81684,"ENSG00000151611","MMAA",166785
9904,3687,"ENSG00000128928","IVD",3712
9905,8698,"ENSG00000092531","SNAP23",8773
9906,41362,"ENSG00000164002","DEM1",64789
9907,59821,"ENSG00000151148","UBE3B",89910
9908,57562,"ENSG00000213339","QTRT1",81890
9909,31240,"ENSG00000103528","SYT17",51760
9910,1000883,"ENSG00000257949","TEN1",100134934
9911,31073,"ENSG00000087087","SRRT",51593
9912,60303,"ENSG00000141052","MYOCD",93649
9913,25857,"ENSG00000171016","PYGO1",26108
9914,36901,"ENSG00000175497","DPP10",57628
9915,59908,"ENSG00000180398","MCFD2",90411
9916,34985,"ENSG00000086589","RBM22",55696
9917,28819,"ENSG00000163607","GTPBP8",29083
9918,79215,"ENSG00000117010","ZNF684",127396
9919,83617,"ENSG00000159314","ARHGAP27",201176
9920,109668,"ENSG00000185761","ADAMTSL5",339366
9921,5781,"ENSG00000185129","PURA",5813
9922,548,"ENSG00000101200","AVP",551
9923,6978,"ENSG00000137203","TFAP2A",7020
9924,10832,"ENSG00000105609","LILRB5",10990
9925,9287,"ENSG00000065320","NTN1",9423
9926,81623,"ENSG00000178395","C1orf65",164127
9927,34146,"ENSG00000130055","GDPD2",54857
9928,1013,"ENSG00000250506","CDK3",1018
9929,40999,"ENSG00000072415","MPP5",64398
9930,54978,"ENSG00000136986","DERL1",79139
9931,22644,"ENSG00000185019","UBOX5",22888
9932,2671,"ENSG00000099998","GGT5",2687
9933,6225,"ENSG00000143171","RXRG",6258
9934,9009,"ENSG00000117013","KCNQ4",9132
9935,57536,"ENSG00000213020","ZNF611",81856
9936,753,"ENSG00000142188","TMEM50B",757
9937,4337,"ENSG00000103222","ABCC1",4363
9938,3334,"ENSG00000168830","HTR1E",3354
9939,8468,"ENSG00000175264","CHST1",8534
9940,1773,"ENSG00000079805","DNM2",1785
9941,79869,"ENSG00000169876","MUC17",140453
9942,34431,"ENSG00000137814","HAUS2",55142
9943,76611,"ENSG00000139648","KRT71",112802
9944,58399,"ENSG00000197601","FAR1",84188
9945,76631,"ENSG00000007376","RPUSD1",113000
9946,22649,"ENSG00000140320","BAHD1",22893
9947,149566,"ENSG00000182700","IGIP",492311
9948,34677,"ENSG00000065328","MCM10",55388
9949,2627,"ENSG00000131979","GCH1",2643
9950,8734,"ENSG00000182687","GALR2",8811
9951,4730,"ENSG00000067141","NEO1",4756
9952,55025,"ENSG00000170876","TMEM43",79188
9953,30646,"ENSG00000132912","DCTN4",51164
9954,124878,"ENSG00000181588","MEX3D",399664
9955,83616,"","SH3D20",201175
